area,name,area_name,competency_code,competency_description,skill_code,skill_description
LC,H3,"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",3,"Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas."
LC,H4,"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",4,Reconhecer posições críticas aos usos sociais das linguagens e dos sistemas de comunicação e informação.
LC,H5,"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais.,5,Associar vocábulos e expressões de um texto em língua estrangeira moderna ao seu tema.
LC,H6,"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais.,6,"Utilizar conhecimentos da língua estrangeira moderna para ampliar o acesso a informações, tecnologias e culturas."
LC,H7,"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais.,7,"Relacionar um texto em língua estrangeira moderna, as estruturas linguísticas, sua função e seu uso social."
LC,H8,"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais.,8,Reconhecer a importância da produção cultural em língua estrangeira moderna como representação da diversidade cultural e linguística.
LC,H9,"Linguagens, Códigos e suas Tecnologias",3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",9,Reconhecer manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.
LC,H10,"Linguagens, Códigos e suas Tecnologias",3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",10,Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas.
LC,H11,"Linguagens, Códigos e suas Tecnologias",3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",11,Reconhecer a linguagem corporal como meio de interação social.
LC,H12,"Linguagens, Códigos e suas Tecnologias",4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,12,Reconhecer diferentes funções da arte e do trabalho da produção dos artistas em seus meios culturais.
LC,H13,"Linguagens, Códigos e suas Tecnologias",4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,13,"Analisar produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos."
LC,H14,"Linguagens, Códigos e suas Tecnologias",4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,14,Reconhecer o valor da diversidade artística e das inter-relações presentes nas manifestações de diferentes grupos.
LC,H15,"Linguagens, Códigos e suas Tecnologias",5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização e estrutura das manifestações.",15,Estabelecer relações entre o texto literário e o momento de sua produção.
LC,H16,"Linguagens, Códigos e suas Tecnologias",5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização e estrutura das manifestações.",16,Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.
LC,H17,"Linguagens, Códigos e suas Tecnologias",5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização e estrutura das manifestações.",17,Reconhecer a presença de valores sociais e humanos no patrimônio literário nacional.
LC,H18,"Linguagens, Códigos e suas Tecnologias",6,Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade.,18,Identificar elementos que concorrem para a progressão temática e organização de textos.
LC,H19,"Linguagens, Códigos e suas Tecnologias",6,Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade.,19,Analisar a função da linguagem predominante nos textos em situações específicas de interlocução.
LC,H20,"Linguagens, Códigos e suas Tecnologias",6,Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade.,20,Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.
LC,H21,"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,21,Reconhecer recursos verbais e não verbais utilizados para criar e mudar comportamentos e hábitos.
LC,H22,"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,22,"Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos."
LC,H23,"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,23,Inferir os objetivos do produtor de um texto e seu público-alvo.
LC,H24,"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,24,Reconhecer estratégias argumentativas empregadas para o convencimento do público.
LC,H25,"Linguagens, Códigos e suas Tecnologias",8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",25,"Identificar marcas linguísticas que singularizam variedades linguísticas sociais, regionais e de registro."
LC,H26,"Linguagens, Códigos e suas Tecnologias",8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",26,Relacionar variedades linguísticas a situações específicas de uso social.
LC,H27,"Linguagens, Códigos e suas Tecnologias",8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",27,Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação.
LC,H28,"Linguagens, Códigos e suas Tecnologias",9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação.",28,Reconhecer a função e o impacto social das tecnologias da comunicação e informação.
LC,H29,"Linguagens, Códigos e suas Tecnologias",9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação.",29,"Identificar, pela análise de suas linguagens, as tecnologias da comunicação e informação."
LC,H30,"Linguagens, Códigos e suas Tecnologias",9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação.",30,Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento.
MT,H1,Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",1,Reconhecer diferentes significados e representações dos números e operações.
MT,H2,Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",2,Identificar padrões numéricos ou princípios de contagem.
MT,H3,Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",3,Resolver situação-problema envolvendo conhecimentos numéricos.
MT,H4,Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",4,Avaliar a razoabilidade de um resultado numérico na construção de argumentos.
MT,H5,Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",5,Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos.
MT,H6,Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,6,Interpretar localização e movimentação no espaço tridimensional e sua representação bidimensional.
MT,H7,Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,7,Identificar características de figuras planas ou espaciais.
MT,H8,Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,8,Resolver situação-problema envolvendo conhecimentos geométricos de espaço e forma.
MT,H9,Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,9,Utilizar conhecimentos geométricos na seleção de argumentos para problemas cotidianos.
MT,H10,Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,10,Identificar relações entre grandezas e unidades de medida.
MT,H11,Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,11,Utilizar a noção de escalas na leitura de representações de situações cotidianas.
MT,H12,Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,12,Resolver situação-problema envolvendo medidas de grandezas.
MT,H13,Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,13,Avaliar o resultado de uma medição na construção de um argumento consistente.
MT,H14,Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,14,Avaliar propostas de intervenção utilizando conhecimentos relacionados a grandezas e medidas.
MT,H15,Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,15,Identificar a relação de dependência entre grandezas.
MT,H16,Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,16,Resolver situação-problema envolvendo variação direta ou inversamente proporcional.
MT,H17,Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,17,Analisar informações envolvendo variação de grandezas como recurso para argumentação.
MT,H18,Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,18,Avaliar propostas de intervenção envolvendo variação de grandezas.
MT,H19,Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",19,Identificar representações algébricas que expressem relações entre grandezas.
MT,H20,Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",20,Interpretar gráfico cartesiano que represente relações entre grandezas.
MT,H21,Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",21,Resolver situação-problema cuja modelagem envolva conhecimentos algébricos.
MT,H22,Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",22,Utilizar conhecimentos algébricos ou geométricos como recurso para argumentação.
MT,H23,Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",23,Avaliar propostas de intervenção utilizando conhecimentos algébricos.
MT,H24,Matemática e suas Tecnologias,6,Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas.,24,Utilizar informações expressas em gráficos ou tabelas para fazer inferências.
MT,H25,Matemática e suas Tecnologias,6,Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas.,25,Resolver problema com dados apresentados em tabelas ou gráficos.
MT,H26,Matemática e suas Tecnologias,6,Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas.,26,Analisar informações expressas em gráficos ou tabelas como recurso para argumentação.
MT,H27,Matemática e suas Tecnologias,7,Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar conhecimentos de estatística e probabilidade.,27,Calcular medidas de tendência central ou dispersão.
MT,H28,Matemática e suas Tecnologias,7,Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar conhecimentos de estatística e probabilidade.,28,Resolver situação-problema envolvendo estatística e probabilidade.
MT,H29,Matemática e suas Tecnologias,7,Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar conhecimentos de estatística e probabilidade.,29,Utilizar conhecimentos de estatística e probabilidade como recurso para argumentação.
MT,H30,Matemática e suas Tecnologias,7,Compreender o caráter aleatório e não-determinístico dos fenômenos naturais e sociais e utilizar conhecimentos de estatística e probabilidade.,30,Avaliar propostas de intervenção utilizando conhecimentos de estatística e probabilidade.
